y true,average predicted values,error bar values
4.967000000000001,6.663432,
7.50075,11.706991,
16.89963,16.383924,
20.12907,33.921253,
53.83403,58.12804,
2.96412,5.6609344,
4.967000000000001,9.580265,
23.40675,21.59084,
32.38307,39.838013,
8.52363,5.4567103,
14.77347,11.795317,
23.95772,22.423315,
16.89963,21.635914,
44.08587,61.45826,
97.67123,73.846725,
28.97675,29.432795,
20.12907,21.479757,
35.83763,35.024998,
42.29628,37.877254,
29.54112,24.29556,
3.46283,2.8857436,
1.47603,3.9721725,
3.96288,6.1511927,
6.48323,7.3459992,
8.011519999999999,8.931932,
11.62443,10.700546,
16.36608,16.613316,
9.55187,9.722263,
3.96288,3.1374192,
4.46427,5.202953,
10.58547,7.04933,
9.03708,8.367122,
12.14592,9.973784,
12.66875,12.200682,
1.47603,2.7739708,
6.48323,5.877838,
8.52363,7.777667,
8.011519999999999,8.910456,
7.50075,8.223573,
16.36608,13.68307,
16.36608,11.131914,
20.672,15.723822,
12.66875,10.861291,
16.36608,11.870719,
5.97648,7.6239305,
10.58547,10.918997,
9.03708,8.516237,
8.011519999999999,11.959813,
7.50075,8.364009,
7.50075,9.049806,
41.70243,41.58362,
102.663,116.54204,
31.812,38.058147,
20.12907,24.928936,
0.0,7.1186996,
17.43452,14.661746,
203.450201763,195.66646,
28.77777777777778,25.683619,
61.77777777777778,47.064613,
89.77777777777777,74.059746,
98.856159963,91.17812,
45.77777777777778,40.67492,
-14.67,4.0931473,
8.72,5.053116,
-11.0,6.1669593,
-3.0,6.2535505,
16.0,7.002449,
2.0,6.7585664,
7.0,6.037842,
3.0,8.148931,
17.0,6.353934,
12.0,9.012595,
7.0,4.125682,
6.0,6.0009985,
13.0,6.597525,
12.0,6.5611444,
5.0,7.3617883,
2.0,6.222833,
6.0,6.6067533,
5.0,7.689411,
16.0,8.578854,
7.0,7.446274,
11.0,5.903722,
6.0,7.96167,
56.0,66.499435,
28.88888888888889,8.369634,
3.888888888888889,11.163373,
21.11111111111111,16.263926,
0.1166666666666671,8.392401,
18.78333333333333,10.866678,
2.594444444444445,10.732977,
12.37222222222222,13.350842,
-4.444444444444445,1.8235973,
2.711111111111112,8.152813,
14.66666666666667,20.909996,
12.0,13.374496,
-4.622222222222223,9.890798,
26.97777777777778,30.725973,
53.47777777777778,54.201122,
-3.87712,-3.0022416,
-2.91588,-1.9733512,
-1.94928,-0.9435436,
3.46283,2.2924175,
-1.46397,8.318879,
-1.46397,-2.276105,
-2.43325,-1.9402206,
-1.46397,0.6307549,
4.967000000000001,4.2140436,
-7.66848,-1.4400494,
-1.46397,-0.47751427,
-2.43325,2.356036,
-2.91588,2.4422696,
5.47107,8.626358,
14.77347,10.05715,
0.49067,4.395898,
-5.308929999999999,-1.2690597,
3.96288,3.5852237,
3.46283,5.7337484,
2.96412,2.430072,
-4.833,3.7415307,
5.47107,9.238432,
11.10428,14.707598,
36.41808,29.585125,
36.41808,40.620964,
1.97072,2.5960212,
2.96412,6.599496,
18.50832,19.713575,
32.38307,32.43563,
3.46283,2.4305859,
10.58547,8.527407,
18.50832,19.734825,
11.10428,16.711039,
36.99987,37.8824,
50.13827,43.04199,
26.73267,23.535334,
9.03708,17.749416,
34.68075,28.0163,
26.175,29.662144,
20.12907,19.113926,
-4.35573,-0.3614774,
-3.39717,0.399175,
3.46283,1.2154789,
5.97648,4.615636,
-0.97732,8.509327,
0.0,0.2170556,
2.46675,0.7317672,
-3.87712,3.1484575,
13.19292,6.902311,
0.98268,0.6692029,
2.96412,1.8759975,
3.46283,4.628665,
-0.48933,1.9246353,
6.991319999999999,8.23136,
17.97075,10.808981,
5.47107,4.744992,
1.97072,2.570003,
9.03708,5.888921,
-1.46397,7.236345,
-2.43325,4.069968,
3.96288,0.37314847,
0.98268,1.1737453,
0.98268,1.9329863,
0.49067,4.348398,
10.068,8.259928,
-1.94928,0.5285708,
0.98268,1.2101572,
6.991319999999999,3.3573532,
10.068,5.955321,
-0.48933,0.7576425,
-3.39717,2.2429128,
0.98268,4.5927973,
5.47107,4.3345194,
5.47107,9.013036,
17.97075,11.5685625,
6.48323,7.7556953,
6.991319999999999,4.5245333,
12.14592,7.5348215,
0.49067,8.700191,
6.48323,6.2147694,
4.967000000000001,1.101119,
-1.46397,2.5077534,
2.46675,3.7354026,
8.52363,7.5210547,
13.19292,12.20268,
1.47603,1.2324831,
-0.97732,2.381308,
5.97648,5.668942,
2.96412,9.344881,
-2.91588,1.2740138,
9.55187,3.3156047,
6.991319999999999,6.5968986,
10.068,3.7694821,
12.14592,9.578444,
12.66875,14.094089,
9.55187,9.6348505,
-6.25677,2.2391553,
6.48323,6.714616,
7.50075,8.572852,
6.48323,5.394011,
2.96412,2.4305215,
4.967000000000001,4.238662,
3.96288,5.6868343,
16.89963,10.20689,
11.10428,15.210294,
-3.39717,2.0876782,
5.47107,3.6281915,
9.03708,7.4743395,
15.303,12.027816,
0.98268,1.9305193,
7.50075,4.4455743,
9.03708,8.023489,
3.96288,5.234387,
17.43452,11.379344,
12.14592,15.173086,
13.19292,10.811356,
8.011519999999999,5.897149,
12.66875,9.829439,
11.62443,10.600444,
11.62443,7.0105157,
